track_id,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
5iDaEbPX8Lq2evx3ZpAgQU,june,,0.773,0.528,4,-7.876,0,0.0551,0.694,0.0001,0.478,0.363,96.06,168000,1935875
2thRPgNgcWAwAYxP4HWdji,Catie Turner,alt z,0.792,0.484,4,-9.897,1,0.192,0.477,0,0.106,0.245,96.939,224528,6158627
1BLfQ6dPXmuDrFmbdfW7Jl,Avenged Sevenfold,alternative metal,0.486,0.881,2,-5.623,0,0.0474,0.0244,0,0.429,0.667,144.997,480707,40539
0RoA7ObU6phWpqhlC9zH4Z,Ziv Zaifman,show tunes,0.265,0.312,7,-11.689,1,0.0569,0.243,0,0.0893,0.0998,54.747,269453,269453
66y7x28jXOPrcmu3D5Zjh6,Austyn Johnson,show tunes,0.253,0.139,6,-17.067,1,0.0414,0.726,5.01E-05,0.269,0.102,74.369,60453,60453
59wlTaYOL5tDUgXnbBQ3my,ODESZA,chillwave,0.515,0.663,7,-7.896,0,0.0328,0.179,0.668,0.494,0.0756,120.024,234244,300828
0xtbVIWkbfu5G6TgCVmvVn,Yasumu,lo-fi study,0.695,0.287,0,-14.608,1,0.0499,0.771,0.904,0.362,0.379,128.028,143379,143378
3RuXekS5criwismaaj87iF,High School Musical Cast,post-teen pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62E-06,0.0522,0.966,135.008,236400,1514502
2BHu6HOFXgHR936cj10XIi,High School Musical Cast,post-teen pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62E-06,0.0522,0.966,135.008,236400,832507
7KNoh3Bn4QfgkIGBywkAB0,Hans Zimmer,german soundtrack,0.171,0.0325,4,-25.382,0,0.043,0.97,0.87,0.0756,0.0284,70.821,207118,1670916
2VeLdiYiILcCOEV0izfzEW,Taron Egerton,hollywood,0.44,0.676,6,-7.57,1,0.0582,0.152,0.0201,0.108,0.429,125.013,206438,372839
0gOz9JUXsaKVzLTSmFDtdo,Jess Benko,gen z singer-songwriter,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43E-06,0.322,0.087,124.209,316556,9160154
0UFkbnxj34vZVgwwEDy29e,Black Hill,instrumental post-rock,0.458,0.361,6,-12.066,0,0.0353,0.825,0.913,0.103,0.231,86.966,229536,229535
1Qi6CGoqTG1UvFcuRzKRNL,Clean Bandit,pop,0.808,0.519,5,-8.268,0,0.0403,0.00623,0.136,0.119,0.384,114.977,246584,246584
3AydAydLzyyZutA0375XIz,Vampire Weekend,baroque pop,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,137760,1804847
1RKgTID6LoCDMvXxX70vyU,Ori Rose,,0.739,0.625,8,-6.013,1,0.0382,0.0879,0,0.251,0.641,122.976,187317,6391884
5PfNKiRk4pyJWxle5cU0ba,CYREX,,0.692,0.735,1,-8.691,1,0.0348,0.314,0.959,0.117,0.415,110.007,196673,88485
35V6qXUDCvwZdmbKe5PlPG,JOYRYDE,bass house,0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,199048,198997
1Hohk6AufHZOrrhMXZppax,Beyoncé,pop,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59E-05,0.171,0.464,121.892,215460,233
,Brevin Kim,,,,,,,,,,,,,,22606
3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,r&b,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16E-05,0.11,0.22,141.967,216063,104821
6DP8InyxdyYChHb2tcV6ia,clide,singer-songwriter pop,0.609,0.428,11,-7.796,1,0.0244,0.538,0,0.064,0.627,96.071,155200,155200
3OM6qQmdFV6uy61GIqpRtf,Rex Orange County,bedroom pop,0.719,0.461,8,-8.191,1,0.0454,0.279,0,0.0875,0.548,123.915,209200,6890534
32P1387Vb7TuwbprjRmtQN,Hikki Gaya,,0.605,0.887,1,-2.298,1,0.0448,0.000974,0.919,0.352,0.0759,99.998,131253,468115
